SymxUUBCx,RcKB398,uNQMYeBmQ
51,2,37
83,88,38
40,30,25
27,52,66
65,43,57
59,14,93
28,84,20
51,1,52
46,36,20
28,20,63
82,93,61
99,57,34
30,29,34
59,2,16
17,25,18
9,88,2
54,63,90
1,2,73
3,71,63
9,32,57
27,50,49
80,47,18
36,46,12
46,73,89
83,33,7
2,78,41
81,16,24
79,96,41
32,73,74
56,38,12
63,73,47
14,83,78
26,86,19
48,70,1
57,37,2
43,3,84
48,52,94
26,30,33
14,63,40
83,69,31
45,43,35
73,66,83
51,7,75
8,13,64
83,68,29
54,9,33
64,87,54
64,16,79
70,20,53
53,64,79
35,93,43
3,77,45
57,24,36
28,81,60
69,59,64
60,24,86
70,61,57
69,46,74
52,43,83
15,88,36
72,84,24
45,37,78
95,84,64
22,8,85
84,11,49
28,66,70
22,84,24
99,74,6
0,94,29
60,63,3
25,8,99
18,15,39
42,67,8
79,20,38
84,11,48
49,10,61
71,18,94
89,81,26
11,54,37
80,79,27
70,82,66
51,38,47
37,60,0
38,46,13
9,10,51
9,60,62
22,78,98
53,74,46
62,84,8
19,5,65
88,6,14
49,58,29
85,99,67
82,19,66
46,42,0
15,85,51
49,51,88
39,77,92
20,31,95
55,44,51
