RcKB398,uNQMYeBmQ,lOihuqh9a,pIkq,21rkd6,yLdLOm,CLrQTb,LFThQKIw,sYef,00L3k,OjQ
74,94,7,89,96,1,93,1,abc23,50,2020-02-01
77,69,63,90,22,35,32,1,abc23,25.0,2020-02-01
90,68,94,72,32,81,58,0,abc23,50,2020-02-01
48,68,59,45,29,53,5,1,nan,25.0,2020-02-01
79,10,99,39,76,28,44,1,nan,50,2020-02-01
5,83,78,26,96,79,66,0,81,50,2020-02-01
66,89,70,17,43,95,89,1,75,50,2020-02-01
44,89,85,87,90,45,72,0,abc23,50,2020-02-01
0,16,40,6,73,84,93,1,abc23,25.0,2020-02-01
36,94,28,6,75,54,18,0,,10,2020-02-01
74,64,6,12,42,88,11,0,abc23,25.0,2020-02-01
49,94,98,24,15,10,40,0,abc23,50,2020-02-01
8,16,51,57,11,47,54,0,99,50,2020-02-01
42,17,47,75,0,63,1,1,abc23,25.0,2020-02-01
62,54,6,58,46,23,42,1,59,25.0,2020-02-01
33,67,98,1,40,16,87,0,34,50,2020-02-01
90,63,55,8,82,92,26,1,8,25.0,2020-02-01
78,47,63,45,66,30,58,0,abc23,25.0,2020-02-01
89,84,71,12,36,23,41,1,nan,10,2020-02-01
52,89,13,87,35,56,11,1,nan,10,2020-02-01
76,6,60,67,89,53,1,1,37,50,2020-02-01
87,62,53,91,27,30,69,0,79,10,2020-02-01
43,15,12,56,91,87,51,1,40,50,2020-02-01
60,5,70,55,12,61,69,1,97,10,2020-02-01
16,34,11,38,24,13,11,1,abc23,50,2020-02-01
94,20,98,63,17,73,4,0,abc23,50,2020-02-01
21,18,49,90,8,36,38,0,abc23,50,2020-02-01
45,4,79,29,53,36,11,0,0,10,2020-02-01
23,92,90,66,92,59,20,0,30,10,2020-02-01
52,53,89,80,93,52,56,1,abc23,25.0,2020-02-01
80,34,28,99,18,71,24,1,abc23,50,2020-02-01
2,53,62,50,61,95,87,1,2,25.0,2020-02-01
61,37,70,36,32,16,94,1,abc23,25.0,2020-02-01
0,5,87,40,36,84,28,0,48,50,2020-02-01
54,29,35,46,70,57,28,0,20,50,2020-02-01
21,55,42,66,95,36,42,0,,25.0,2020-02-01
74,99,6,20,34,70,48,1,abc23,50,2020-02-01
16,67,83,55,63,2,57,1,nan,25.0,2020-02-01
19,19,95,15,91,59,48,0,abc23,50,2020-02-01
47,93,9,85,53,31,75,0,abc23,10,2020-02-01
83,19,72,28,90,80,27,1,abc23,50,2020-02-01
90,9,28,90,96,59,45,0,47,50,2020-02-01
98,37,19,4,83,88,7,1,abc23,50,2020-02-01
27,82,57,74,51,9,37,1,89,50,2020-02-01
20,86,24,86,4,81,56,0,,50,2020-02-01
7,44,70,83,40,8,23,0,99,50,2020-02-01
89,56,93,21,15,32,73,0,abc23,50,2020-02-01
28,58,39,51,93,26,0,1,62,50,2020-02-01
58,12,96,89,23,21,86,0,abc23,10,2020-02-01
94,5,30,64,7,34,72,1,nan,50,2020-02-01
52,47,20,37,96,97,64,1,,50,2020/02/01
69,29,20,63,48,30,10,0,80,50,2020/02/01
61,19,5,98,68,25,87,1,abc23,50,2020/02/01
10,3,29,16,99,71,79,1,abc23,50,2020/02/01
45,28,1,61,17,52,39,1,,10,2020/02/01
88,46,5,58,33,7,78,0,abc23,25.0,2020/02/01
39,79,80,1,31,50,48,0,86,10,2020/02/01
0,50,44,17,15,18,78,1,abc23,10,2020/02/01
24,59,34,16,46,59,11,1,abc23,25.0,2020/02/01
66,54,44,36,76,27,29,1,abc23,10,2020/02/01
70,88,4,94,50,50,37,0,nan,10,2020/02/01
19,64,23,19,32,32,65,0,,10,2020/02/01
2,27,99,52,88,57,6,1,,10,2020/02/01
68,53,97,56,14,3,96,0,nan,25.0,2020/02/01
45,40,4,74,14,35,93,1,abc23,25.0,2020/02/01
95,57,12,14,4,69,38,1,nan,10,2020/02/01
58,25,24,3,4,33,57,0,nan,50,2020/02/01
40,39,84,39,52,55,50,0,,50,2020/02/01
94,2,73,9,36,79,25,0,abc23,10,2020/02/01
67,50,88,24,75,26,87,0,,25.0,2020/02/01
34,13,29,92,5,7,1,1,abc23,25.0,2020/02/01
89,18,74,74,17,41,22,1,nan,50,2020/02/01
99,61,40,84,45,97,87,0,abc23,50,2020/02/01
14,82,32,99,77,2,54,1,abc23,25.0,2020/02/01
30,63,83,95,84,84,19,1,62,25.0,2020/02/01
83,96,1,49,11,9,54,1,,50,2020/02/01
27,97,65,13,24,62,36,1,nan,50,2020/02/01
99,92,87,82,10,51,56,1,abc23,50,2020/02/01
36,7,68,13,8,69,50,0,abc23,10,2020/02/01
78,91,84,16,40,82,88,1,abc23,10,2020/02/01
92,38,79,24,90,40,20,1,abc23,50,2020/02/01
19,80,68,95,62,19,80,1,abc23,50,2020/02/01
69,67,82,30,96,54,25,1,,50,2020/02/01
8,54,63,47,4,35,84,0,abc23,50,2020/02/01
24,98,64,38,20,25,83,0,abc23,10,2020/02/01
43,63,82,87,52,29,83,1,abc23,50,2020/02/01
